alias,id,variation-id,name2>text
Common_Env_Airdash_lv1,1,1,Ride Dragon Pulse
Common_Env_Airdash_lv2,2,1,Ride Dragon Pulse 2
Common_Passive_Defence_Mastery_Lv1,100,1,Defense Mastery
Common_Passive_Defence_Mastery_Lv2,101,1,Defense Mastery
Common_Passive_Vital_Mastery_Lv1,102,1,Survival Mastery
Common_Passive_Vital_Mastery_Lv2,103,1,Survival Mastery
Common_Resurrection_Action,500,1,Resurrect
Common_context_RockHiddenSkill,501,1,Resurrect
Common_act_WallJump,600,1,
Common_act_WaterSprint,601,1,
Common_act_SecondJump,602,1,
Common_act_Dropping,603,1,
GM_Move,700,1,Return
Tutorial_ShipCannon,1000,1,
Common_Act_CampFire,9040,1,
Shooter_G1_BlueFire_Fire,13001,1,Blue Flame
Shooter_G1_BlueFire_Fire_flameshot,13002,1,Blue Flame
Shooter_G1_BlueFire_Fire_2,13003,1,Blue Flame
Shooter_G2_Shadowshot_Void,13004,1,Shadow Bullet
Shooter_G2_Shadowshot_Void_2,13005,1,Shadow Bullet
Shooter_G1_BlueFire_Fire_Lv2,13006,1,Blue Flame
Shooter_G1_BlueFire_Fire_flameshot_Lv2,13007,1,Blue Flame
Shooter_G1_BlueFire_Fire_2_Lv2,13008,1,Blue Flame
Shooter_G2_Shadowshot_Void_Lv2,13009,1,Shadow Bullet
Shooter_G2_Shadowshot_Void_2_Lv2,13010,1,Shadow Bullet
SwordMaster_Sword_Breeze_Attack,17001,1,Squall
SwordMaster_Batto_Chain_Lightning,17002,1,Chain Lightning
SwordMaster_Sword_Breeze_Attack_2,17003,1,Squall
SwordMaster_Batto_Chain_Lightning_2,17004,1,Chain Lightning
SwordMaster_DemonicDevour,17005,1,Hell Hound
SwordMaster_DemonicDevour_2,17006,1,Hell Hound
Warlock_Summoned_Hourglass_RdcCoolDown,18001,1,
BladeMaster_Sword_mach_slash_Item1_V3,20700,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item1_V3,20701,1,Lightning Draw
BladeMaster_Sword_mach_slash_Item1_V3_hid,20702,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item1_V3_hid,20703,1,Lightning Draw
BladeMaster_Sword_mach_slash_Item1_V3_hid2,20704,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item1_V3_hid2,20705,1,Lightning Draw
BladeMaster_Sword_mach_slash_Item1_V3_hid3,20706,1,Greater Lightning Draw
BladeMaster_Batto_mach_slash_Item1_V3_hid3,20707,1,Greater Lightning Draw
BladeMaster_Sword_mach_slash_Item2_V2,20720,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item2_V2,20721,1,Lightning Draw
BladeMaster_Sword_stab_Item2_V2,20730,1,Pierce
BladeMaster_Sword_BackwardRoll_Item1_V2,20750,1,Retreat
BladeMaster_Sword_escape_Item1_V2,20751,1,Second Wind
BladeMaster_Sword_escape_inhalation-catch_Item1_V2,20752,1,Second Wind
BladeMaster_Sword_escape_catch_Item1_V2,20753,1,Second Wind
BladeMaster_Sword_escape_mount_Item1_V2,20754,1,Second Wind
BladeMaster_Sword_BackwardRoll_Item2_V2,20758,1,Retreat
BladeMaster_Sword_back_dash_Item1_V3,20760,1,Evade
BladeMaster_Batto_back_dash_Item1_V3,20761,1,Evade
BladeMaster_Sword_mach_slash_Item1_V2,20800,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item1_V2,20801,1,Lightning Draw
BladeMaster_Sword_mach_slash_Item1_V2_hid,20802,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item1_V2_hid,20803,1,Lightning Draw
BladeMaster_Sword_mach_slash_Item1_V2_hid2,20804,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item1_V2_hid2,20805,1,Lightning Draw
BladeMaster_Sword_mach_slash_Item1_V2_hid3,20806,1,Greater Lightning Draw
BladeMaster_Batto_mach_slash_Item1_V2_hid3,20807,1,Greater Lightning Draw
BladeMaster_Sword_mach_slash_Item2_V3,20820,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item2_V3,20821,1,Lightning Draw
BladeMaster_Sword_stab_Item2_V3,20830,1,Pierce
BladeMaster_Sword_BackwardRoll_Item1_V3,20850,1,Retreat
BladeMaster_Sword_escape_Item1_V3,20851,1,Second Wind
BladeMaster_Sword_escape_inhalation-catch_Item1_V3,20852,1,Second Wind
BladeMaster_Sword_escape_catch_Item1_V3,20853,1,Second Wind
BladeMaster_Sword_escape_mount_Item1_V3,20854,1,Second Wind
BladeMaster_Sword_BackwardRoll_Item2_V3,20858,1,Retreat
BladeMaster_Sword_back_dash_Item1_V2,20860,1,Evade
BladeMaster_Batto_back_dash_Item1_V2,20861,1,Evade
BladeMaster_Sword_mach_slash_Item1_V1,20900,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item1_V1,20901,1,Lightning Draw
BladeMaster_Sword_mach_slash_Item1_V1_hid,20902,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item1_V1_hid,20903,1,Lightning Draw
BladeMaster_Sword_mach_slash_Item1_V1_hid2,20904,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item1_V1_hid2,20905,1,Lightning Draw
BladeMaster_Sword_mach_slash_Item1_V1_hid3,20906,1,Greater Lightning Draw
BladeMaster_Batto_mach_slash_Item1_V1_hid3,20907,1,Greater Lightning Draw
BladeMaster_Sword_stab_Item1_V1,20910,1,Pierce
BladeMaster_Sword_stab_Item1_V1_hid,20911,1,Greater Pierce
BladeMaster_Sword_stab_Item1_V2,20912,1,Pierce
BladeMaster_Sword_stab_Item1_V2_hid,20913,1,Greater Pierce
BladeMaster_Sword_stab_Item1_V3,20914,1,Pierce
BladeMaster_Sword_stab_Item1_V3_hid,20915,1,Greater Pierce
BladeMaster_Sword_mach_slash_Item2_V1,20920,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item2_V1,20921,1,Lightning Draw
BladeMaster_Sword_stab_Item2_V1,20930,1,Pierce
BladeMaster_Sword_stab_Item3_V1,20940,1,Pierce
BladeMaster_Sword_stab_Item3_V1_hid,20941,1,Pierce
BladeMaster_Sword_stab_Item3_V2,20942,1,Pierce
BladeMaster_Sword_stab_Item3_V2_hid,20943,1,Pierce
BladeMaster_Sword_stab_Item3_V3,20944,1,Pierce
BladeMaster_Sword_stab_Item3_V3_hid,20945,1,Pierce
BladeMaster_Sword_BackwardRoll_Item1_V1,20950,1,Retreat
BladeMaster_Sword_escape_Item1_V1,20951,1,Second Wind
BladeMaster_Sword_escape_inhalation-catch_Item1_V1,20952,1,Second Wind
BladeMaster_Sword_escape_catch_Item1_V1,20953,1,Second Wind
BladeMaster_Sword_escape_mount_Item1_V1,20954,1,Second Wind
BladeMaster_Sword_BackwardRoll_Item2_V1,20958,1,Retreat
BladeMaster_Sword_back_dash_Item1_V1,20960,1,Evade
BladeMaster_Batto_back_dash_Item1_V1,20961,1,Evade
BladeMaster_Sword_mach_slash_Item3,20970,1,Lightning Draw
BladeMaster_Batto_mach_slash_Item3,20971,1,Lightning Draw
KungfuMaster_Attack_HeavyPunch_Item1_V2,21700,1,Comet Strike
KungfuMaster_Attack_HeavyPunch_Item1_V2_hid,21701,1,Comet Strike
KungfuMaster_Attack_HeavyPunch_Item1_V2_hid2,21702,1,Comet Strike
KungfuMaster_Attack_HeavyPunch_Item1_V2_hid3,21703,1,Greater Comet Strike
KungfuMaster_Attack_HeavyPunch_Item2_V2,21720,1,Comet Strike
KungfuMaster_Attack_PowerfulAttack_Item2_V2,21730,1,Swift Strike
KungfuMaster_Attack_DownBackStep_Item1_V2,21750,1,Retreat
KungfuMaster_Attack_Escape_Stun_Item1_V2,21751,1,Second Wind
KungfuMaster_Attack_Escape_Down_Item1_V2,21752,1,Second Wind
KungfuMaster_Attack_Escape_Air_Item1_V2,21753,1,Second Wind
KungfuMaster_Attack_Escape_Catch_Item1_V2,21754,1,Second Wind
KungfuMaster_Attack_Escape_Mount_Item1_V2,21755,1,Second Wind
KungfuMaster_Attack_Escape_InhalationCatch_Item1_V2,21756,1,Second Wind
KungfuMaster_Attack_Escape_Inhalation_Item1_V2,21757,1,Second Wind
KungfuMaster_Attack_DownBackStep_Item2_V2,21758,1,Retreat
KungfuMaster_Attack_BackStep_Item1_V2,21760,1,Backstep
KungfuMaster_Attack_HeavyPunch_Item1_V3,21800,1,Comet Strike
KungfuMaster_Attack_HeavyPunch_Item1_V3_hid,21801,1,Comet Strike
KungfuMaster_Attack_HeavyPunch_Item1_V3_hid2,21802,1,Comet Strike
KungfuMaster_Attack_HeavyPunch_Item1_V3_hid3,21803,1,Greater Comet Strike
KungfuMaster_Attack_HeavyPunch_Item2_V3,21820,1,Comet Strike
KungfuMaster_Attack_PowerfulAttack_Item2_V3,21830,1,Swift Strike
KungfuMaster_Attack_DownBackStep_Item1_V3,21850,1,Retreat
KungfuMaster_Attack_Escape_Stun_Item1_V3,21851,1,Second Wind
KungfuMaster_Attack_Escape_Down_Item1_V3,21852,1,Second Wind
KungfuMaster_Attack_Escape_Air_Item1_V3,21853,1,Second Wind
KungfuMaster_Attack_Escape_Catch_Item1_V3,21854,1,Second Wind
KungfuMaster_Attack_Escape_Mount_Item1_V3,21855,1,Second Wind
KungfuMaster_Attack_Escape_InhalationCatch_Item1_V3,21856,1,Second Wind
KungfuMaster_Attack_Escape_Inhalation_Item1_V3,21857,1,Second Wind
KungfuMaster_Attack_DownBackStep_Item2_V3,21858,1,Retreat
KungfuMaster_Attack_BackStep_Item1_V3,21860,1,Backstep
KungfuMaster_Attack_HeavyPunch_Item1_V1,21900,1,Comet Strike
KungfuMaster_Attack_HeavyPunch_Item1_V1_hid,21901,1,Comet Strike
KungfuMaster_Attack_HeavyPunch_Item1_V1_hid2,21902,1,Comet Strike
KungfuMaster_Attack_HeavyPunch_Item1_V1_hid3,21903,1,Greater Comet Strike
KungfuMaster_Attack_PowerfulAttack_Item1_V1,21910,1,Swift Strike
KungfuMaster_Attack_PowerfulAttack_Item1_V1_hid,21911,1,Greater Swift Strike
KungfuMaster_Attack_PowerfulAttack_Item1_V2,21912,1,Swift Strike
KungfuMaster_Attack_PowerfulAttack_Item1_V2_hid,21913,1,Greater Swift Strike
KungfuMaster_Attack_PowerfulAttack_Item1_V3,21914,1,Swift Strike
KungfuMaster_Attack_PowerfulAttack_Item1_V3_hid,21915,1,Greater Swift Strike
KungfuMaster_Attack_HeavyPunch_Item2_V1,21920,1,Comet Strike
KungfuMaster_Attack_PowerfulAttack_Item2_V1,21930,1,Swift Strike
KungfuMaster_Attack_PowerfulAttack_Item3_V1,21940,1,Swift Strike
KungfuMaster_Attack_PowerfulAttack_Item3_V1_hid,21941,1,Swift Strike
KungfuMaster_Attack_PowerfulAttack_Item3_V2,21942,1,Swift Strike
KungfuMaster_Attack_PowerfulAttack_Item3_V2_hid,21943,1,Swift Strike
KungfuMaster_Attack_PowerfulAttack_Item3_V3,21944,1,Swift Strike
KungfuMaster_Attack_PowerfulAttack_Item3_V3_hid,21945,1,Swift Strike
KungfuMaster_Attack_DownBackStep_Item1_V1,21950,1,Retreat
KungfuMaster_Attack_Escape_Stun_Item1_V1,21951,1,Second Wind
KungfuMaster_Attack_Escape_Down_Item1_V1,21952,1,Second Wind
KungfuMaster_Attack_Escape_Air_Item1_V1,21953,1,Second Wind
KungfuMaster_Attack_Escape_Catch_Item1_V1,21954,1,Second Wind
KungfuMaster_Attack_Escape_Mount_Item1_V1,21955,1,Second Wind
KungfuMaster_Attack_Escape_InhalationCatch_Item1_V1,21956,1,Second Wind
KungfuMaster_Attack_Escape_Inhalation_Item1_V1,21957,1,Second Wind
KungfuMaster_Attack_DownBackStep_Item2_V1,21958,1,Retreat
KungfuMaster_Attack_BackStep_Item1_V1,21960,1,Backstep
KungfuMaster_Attack_HeavyPunch_Item3,21970,1,Comet Strike
ForceMaster_Deal_fire_ball_Item_NukeCombo_Var1,22700,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_NukeCombo_Var1,22701,1,Inferno
ForceMaster_Deal_fire_ball_Item_NukeCombo_Var1_hid1,22702,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_NukeCombo_Var1_hid1,22703,1,Inferno
ForceMaster_Deal_fire_ball_Item_NukeCombo_Var1_hid2,22704,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_NukeCombo_Var1_hid2,22705,1,Inferno
ForceMaster_Deal_fire_ball_Item_NukeCombo_Var1_hid3,22706,1,Greater Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_NukeCombo_Var1_hid3,22707,1,Greater Inferno
ForceMaster_Deal_fire_ball_Item_NukeCombo_Var2,22708,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_NukeCombo_Var2,22709,1,Inferno
ForceMaster_Deal_fire_ball_Item_NukeCombo_Var2_hid1,22710,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_NukeCombo_Var2_hid1,22711,1,Inferno
ForceMaster_Deal_fire_ball_Item_NukeCombo_Var2_hid2,22712,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_NukeCombo_Var2_hid2,22713,1,Inferno
ForceMaster_Deal_fire_ball_Item_NukeCombo_Var2_hid3,22714,1,Greater Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_NukeCombo_Var2_hid3,22715,1,Greater Inferno
ForceMaster_Deal_fire_ball_Item_NukeCombo_Var3,22716,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_NukeCombo_Var3,22717,1,Inferno
ForceMaster_Deal_fire_ball_Item_NukeCombo_Var3_hid1,22718,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_NukeCombo_Var3_hid1,22719,1,Inferno
ForceMaster_Deal_fire_ball_Item_NukeCombo_Var3_hid2,22720,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_NukeCombo_Var3_hid2,22721,1,Inferno
ForceMaster_Deal_fire_ball_Item_NukeCombo_Var3_hid3,22722,1,Greater Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_NukeCombo_Var3_hid3,22723,1,Greater Inferno
ForceMaster_Deal_fire_ball_Item_ShoutSP_Var1,22730,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_ShoutSP_Var1,22731,1,Inferno
ForceMaster_Deal_fire_ball_Item_ShoutSP_Var2,22732,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_ShoutSP_Var2,22733,1,Inferno
ForceMaster_Deal_fire_ball_Item_ShoutSP_Var3,22734,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_ShoutSP_Var3,22735,1,Inferno
ForceMaster_Deal_fire_ball_Item_KillBuff_Var1,22740,1,Inferno
ForceMaster_Deal_magnetic_fire_ball_Item_KillBuff_Var1,22741,1,Inferno
ForceMaster_Deal_energy_cyclone_Item_MainDeal_Var1,22800,1,Frost Palm
ForceMaster_Deal_magnetic_cyclone_Item_MainDeal_Var1,22801,1,Frost Palm
ForceMaster_Deal_energy_cyclone_Item_MainDeal_Var1_hid1,22802,1,Greater Frost Palm
ForceMaster_Deal_magnetic_cyclone_Item_MainDeal_Var1_hid1,22803,1,Greater Frost Palm
ForceMaster_Deal_energy_cyclone_Item_MainDeal_Var2,22804,1,Frost Palm
ForceMaster_Deal_magnetic_cyclone_Item_MainDeal_Var2,22805,1,Frost Palm
ForceMaster_Deal_energy_cyclone_Item_MainDeal_Var2_hid1,22806,1,Greater Frost Palm
ForceMaster_Deal_magnetic_cyclone_Item_MainDeal_Var2_hid1,22807,1,Greater Frost Palm
ForceMaster_Deal_energy_cyclone_Item_MainDeal_Var3,22808,1,Frost Palm
ForceMaster_Deal_magnetic_cyclone_Item_MainDeal_Var3,22809,1,Frost Palm
ForceMaster_Deal_energy_cyclone_Item_MainDeal_Var3_hid1,22810,1,Greater Frost Palm
ForceMaster_Deal_magnetic_cyclone_Item_MainDeal_Var3_hid1,22811,1,Greater Frost Palm
ForceMaster_Deal_energy_cyclone_Item_MainDealNuke_Var1,22820,1,Frost Palm
ForceMaster_Deal_magnetic_cyclone_Item_MainDealNuke_Var1,22821,1,Frost Palm
ForceMaster_Deal_energy_cyclone_Item_MainDealNuke_Var2,22822,1,Frost Palm
ForceMaster_Deal_magnetic_cyclone_Item_MainDealNuke_Var2,22823,1,Frost Palm
ForceMaster_Deal_energy_cyclone_Item_MainDealNuke_Var3,22824,1,Frost Palm
ForceMaster_Deal_magnetic_cyclone_Item_MainDealNuke_Var3,22825,1,Frost Palm
ForceMaster_Deal_energy_cyclone_Item_MainDealProb_Var1,22830,1,Frost Palm
ForceMaster_Deal_magnetic_cyclone_Item_MainDealProb_Var1,22831,1,Frost Palm
ForceMaster_Deal_energy_cyclone_Item_MainDealProb_Var2,22832,1,Frost Palm
ForceMaster_Deal_magnetic_cyclone_Item_MainDealProb_Var2,22833,1,Frost Palm
ForceMaster_Deal_energy_cyclone_Item_MainDealProb_Var3,22834,1,Frost Palm
ForceMaster_Deal_magnetic_cyclone_Item_MainDealProb_Var3,22835,1,Frost Palm
ForceMaster_Deal_Escape_Item_EscapeBackRoll_Var1,22900,1,Second Wind
ForceMaster_Mount_counter_escape_Item_EscapeBackRoll_Var1,22901,1,Second Wind
ForceMaster_Link_counter_escape_Item_EscapeBackRoll_Var1,22902,1,Second Wind
ForceMaster_Link2_counter_escape_Item_EscapeBackRoll_Var1,22903,1,Second Wind
ForceMaster_Link3_counter_escape_Item_EscapeBackRoll_Var1,22904,1,Second Wind
ForceMaster_Down_BackwardRoll_Item_EscapeBackRoll_Var1,22905,1,Retreat
ForceMaster_Deal_Escape_Item_EscapeBackRoll_Var2,22906,1,Second Wind
ForceMaster_Mount_counter_escape_Item_EscapeBackRoll_Var2,22907,1,Second Wind
ForceMaster_Link_counter_escape_Item_EscapeBackRoll_Var2,22908,1,Second Wind
ForceMaster_Link2_counter_escape_Item_EscapeBackRoll_Var2,22909,1,Second Wind
ForceMaster_Link3_counter_escape_Item_EscapeBackRoll_Var2,22910,1,Second Wind
ForceMaster_Down_BackwardRoll_Item_EscapeBackRoll_Var2,22911,1,Retreat
ForceMaster_Deal_Escape_Item_EscapeBackRoll_Var3,22912,1,Second Wind
ForceMaster_Mount_counter_escape_Item_EscapeBackRoll_Var3,22913,1,Second Wind
ForceMaster_Link_counter_escape_Item_EscapeBackRoll_Var3,22914,1,Second Wind
ForceMaster_Link2_counter_escape_Item_EscapeBackRoll_Var3,22915,1,Second Wind
ForceMaster_Link3_counter_escape_Item_EscapeBackRoll_Var3,22916,1,Second Wind
ForceMaster_Down_BackwardRoll_Item_EscapeBackRoll_Var3,22917,1,Retreat
ForceMaster_Down_BackwardRoll_Item_BackRoll_Var1,22918,1,Retreat
ForceMaster_Down_BackwardRoll_Item_BackRoll_Var2,22919,1,Retreat
ForceMaster_Down_BackwardRoll_Item_BackRoll_Var3,22920,1,Retreat
ForceMaster_Deal_Breakaway_Item_Breakaway_Var1,22950,1,Backstep
ForceMaster_Deal_magnetic_Breakaway_Item_Breakaway_Var1,22951,1,Backstep
ForceMaster_Deal_Breakaway_Item_Breakaway_Var1_hid1,22952,1,Backstep
ForceMaster_Deal_Breakaway_Item_Breakaway_Var2,22953,1,Backstep
ForceMaster_Deal_magnetic_Breakaway_Item_Breakaway_Var2,22954,1,Backstep
ForceMaster_Deal_Breakaway_Item_Breakaway_Var2_hid1,22955,1,Backstep
ForceMaster_Deal_Breakaway_Item_Breakaway_Var3,22956,1,Backstep
ForceMaster_Deal_magnetic_Breakaway_Item_Breakaway_Var3,22957,1,Backstep
ForceMaster_Deal_Breakaway_Item_Breakaway_Var3_hid1,22958,1,Backstep
Destroyer_G1_Countercrush_Item1_Var1_Combo1,24501,1,Smash
Destroyer_G1_Countercrush_Item1_Var1_Combo2,24502,1,Smash
Destroyer_G1_Countercrush_Item1_Var1_Combo3,24503,1,Smash
Destroyer_G1_Countercrush_Item1_Var1_Combo4,24504,1,Greater Smash
Destroyer_G1_Countercrush_Item1_Var2_Combo1,24505,1,Smash
Destroyer_G1_Countercrush_Item1_Var2_Combo2,24506,1,Smash
Destroyer_G1_Countercrush_Item1_Var2_Combo3,24507,1,Smash
Destroyer_G1_Countercrush_Item1_Var2_Combo4,24508,1,Greater Smash
Destroyer_G1_Countercrush_Item1_Var3_Combo1,24509,1,Smash
Destroyer_G1_Countercrush_Item1_Var3_Combo2,24510,1,Smash
Destroyer_G1_Countercrush_Item1_Var3_Combo3,24511,1,Smash
Destroyer_G1_Countercrush_Item1_Var3_Combo4,24512,1,Greater Smash
Destroyer_G1_Axe_Chop_Item2_Var1_Basic,24513,1,Cleave
Destroyer_G1_Axe_Chop_Catch_Item2_Var1_Basic,24514,1,Cleave
Destroyer_G1_Axe_Chop_CatchGiant_Item2_Var1_Basic,24515,1,Cleave
Destroyer_G1_Axe_Chop_Item2_Var1_Charge,24516,1,Greater Cleave
Destroyer_G1_Axe_Chop_Catch_Item2_Var1_Charge,24517,1,Greater Cleave
Destroyer_G1_Axe_Chop_CatchGiant_Item2_Var1_Charge,24518,1,Greater Cleave
Destroyer_G1_Axe_Chop_Item2_Var2_Basic,24519,1,Cleave
Destroyer_G1_Axe_Chop_Catch_Item2_Var2_Basic,24520,1,Cleave
Destroyer_G1_Axe_Chop_CatchGiant_Item2_Var2_Basic,24521,1,Cleave
Destroyer_G1_Axe_Chop_Item2_Var2_Charge,24522,1,Greater Cleave
Destroyer_G1_Axe_Chop_Catch_Item2_Var2_Charge,24523,1,Greater Cleave
Destroyer_G1_Axe_Chop_CatchGiant_Item2_Var2_Charge,24524,1,Greater Cleave
Destroyer_G1_Axe_Chop_Item2_Var3_Basic,24525,1,Cleave
Destroyer_G1_Axe_Chop_Catch_Item2_Var3_Basic,24526,1,Cleave
Destroyer_G1_Axe_Chop_CatchGiant_Item2_Var3_Basic,24527,1,Cleave
Destroyer_G1_Axe_Chop_Item2_Var3_Charge,24528,1,Greater Cleave
